SECTOR,LAT,LON,CITY,TARGET_FACILITY,RISK_LEVEL
SEC-97,53.44,-2.95,Geneva,Supply Depot,High
SEC-89,35.92,-5.22,Madrid,Power Grid Substation,High
SEC-52,58.37,-6.32,Geneva,Supply Depot,Extreme
SEC-57,39.82,13.71,Prague,Communications Tower,Low
SEC-70,46.61,1.73,Prague,Railway Junction,High
SEC-98,43.58,24.88,Madrid,Railway Junction,Extreme
SEC-19,49.43,-4.55,Copenhagen,Power Grid Substation,Extreme
SEC-36,39.10,12.09,Brussels,Supply Depot,Extreme
SEC-48,42.58,-9.70,Brussels,Power Grid Substation,Extreme
SEC-10,58.20,14.28,London,Water Treatment Plant,Extreme
SEC-61,53.13,16.36,Warsaw,Railway Junction,Medium
SEC-33,40.93,21.48,Brussels,Supply Depot,High
SEC-16,52.07,21.72,Prague,Power Grid Substation,Low
SEC-28,35.55,0.53,London,Communications Tower,Extreme
SEC-38,51.92,27.38,Paris,Embassy Annex,Low
SEC-98,56.54,19.82,Copenhagen,Communications Tower,Medium
SEC-34,37.04,14.69,Prague,Water Treatment Plant,Low
SEC-61,42.39,7.97,Vienna,Water Treatment Plant,High
SEC-79,38.74,-0.73,Warsaw,Power Grid Substation,Medium
SEC-41,55.61,10.77,Madrid,Communications Tower,Low
SEC-77,55.26,-1.29,Prague,Communications Tower,Extreme
SEC-71,52.40,-5.31,Rome,Supply Depot,Medium
SEC-57,37.88,13.83,Brussels,Power Grid Substation,Medium
SEC-47,42.07,27.65,Brussels,Power Grid Substation,Low
SEC-76,40.88,23.17,London,Water Treatment Plant,Low
SEC-14,45.60,27.98,Prague,Communications Tower,Medium
SEC-72,59.00,8.21,Rome,Embassy Annex,Extreme
SEC-52,59.92,6.60,Paris,Supply Depot,Medium
SEC-91,51.33,-2.91,Zurich,Railway Junction,Medium
SEC-40,47.10,24.26,Berlin,Railway Junction,Medium
SEC-46,41.83,27.76,Berlin,Power Grid Substation,Extreme
SEC-16,38.60,25.03,Rome,Water Treatment Plant,Extreme
SEC-24,38.58,13.88,London,Water Treatment Plant,Medium
SEC-98,49.95,29.63,Berlin,Supply Depot,Medium
SEC-86,55.72,25.88,Paris,Communications Tower,Extreme
SEC-67,49.71,-5.22,Prague,Communications Tower,Extreme
SEC-13,58.76,9.24,Geneva,Water Treatment Plant,Extreme
SEC-52,59.88,-6.72,Berlin,Railway Junction,Medium
SEC-39,59.86,28.02,Rome,Power Grid Substation,High
SEC-48,49.71,22.79,Brussels,Embassy Annex,High
SEC-52,47.92,-5.20,Paris,Communications Tower,High
SEC-91,39.48,11.46,Warsaw,Communications Tower,Extreme
SEC-94,59.39,-6.53,Rome,Embassy Annex,Medium
SEC-34,51.23,1.57,Copenhagen,Water Treatment Plant,High
SEC-58,42.60,23.95,Geneva,Railway Junction,Extreme
SEC-71,56.32,20.89,Rome,Embassy Annex,High
SEC-18,40.83,8.36,Berlin,Water Treatment Plant,Extreme
SEC-88,58.84,-1.35,Copenhagen,Railway Junction,Low
SEC-21,48.08,-0.77,Berlin,Communications Tower,Medium
SEC-75,54.91,1.13,Brussels,Power Grid Substation,High
SEC-51,41.46,-0.10,Warsaw,Supply Depot,Medium
SEC-49,37.67,29.36,Zurich,Power Grid Substation,Low
SEC-11,59.03,-4.20,Brussels,Power Grid Substation,Extreme
SEC-47,48.50,-4.67,Prague,Railway Junction,Medium
SEC-41,51.93,12.24,Berlin,Water Treatment Plant,Low
SEC-64,38.59,5.52,London,Embassy Annex,Low
SEC-26,35.46,20.75,Berlin,Communications Tower,Extreme
SEC-41,56.43,-8.50,Berlin,Power Grid Substation,Low
SEC-60,54.33,-1.22,Prague,Embassy Annex,High
SEC-81,42.36,-4.36,Madrid,Embassy Annex,Low
SEC-73,47.70,10.69,Rome,Water Treatment Plant,Medium
SEC-22,46.51,25.57,Prague,Embassy Annex,Low
SEC-29,53.65,-4.95,Vienna,Supply Depot,High
SEC-69,57.75,5.00,Warsaw,Embassy Annex,Extreme
SEC-10,35.47,-8.47,Geneva,Railway Junction,Medium
SEC-87,38.97,27.27,Vienna,Supply Depot,Extreme
SEC-42,45.80,-9.83,Warsaw,Water Treatment Plant,Low
SEC-62,48.20,-5.56,Vienna,Water Treatment Plant,Medium
SEC-32,57.38,-1.02,Zurich,Power Grid Substation,Extreme
SEC-21,55.47,7.48,Brussels,Communications Tower,Extreme
SEC-77,53.22,-1.01,Zurich,Supply Depot,Low
SEC-39,36.56,-4.58,Warsaw,Embassy Annex,Extreme
SEC-72,47.39,1.10,Zurich,Supply Depot,Low
SEC-93,49.48,-1.87,Zurich,Water Treatment Plant,Medium
SEC-68,53.11,-3.45,London,Water Treatment Plant,Medium
SEC-52,36.90,-7.45,Paris,Power Grid Substation,Low
SEC-92,59.07,15.80,Berlin,Communications Tower,Medium
SEC-94,57.25,14.27,Geneva,Embassy Annex,Low
SEC-13,38.38,9.17,London,Communications Tower,Extreme
SEC-78,36.13,-4.65,Prague,Communications Tower,High
SEC-83,41.87,20.36,Vienna,Water Treatment Plant,Medium
SEC-14,53.40,-1.02,Geneva,Water Treatment Plant,Low
SEC-43,58.19,26.06,Vienna,Supply Depot,High
